id,created_at,updated_at,post_id,prolific_id,session_id,condition,label
252,2024-10-15 18:17:20.948041+00:00,2024-10-15 18:17:20.948139+00:00,2277,60270b1e704fd249e21b0ae2,670eb12e94e3d6cebf47ed03,no label,4
253,2024-10-15 18:17:26.424552+00:00,2024-10-15 18:17:26.424646+00:00,2901,644f255ec4f58fe559261911,670eb12ba139bbc8ce390957,label,6
254,2024-10-15 18:17:38.802164+00:00,2024-10-15 18:17:38.802250+00:00,2065,63972b68541bab989795da48,670eb133bbbd83935fae4ec0,no label,3
255,2024-10-15 18:17:43.686477+00:00,2024-10-15 18:17:43.686570+00:00,2685,5a6d3a19e6cc4a0001b6c47a,670eb1810f6b0f4fbd452cdb,no label,6
256,2024-10-15 18:17:50.458126+00:00,2024-10-15 18:17:50.458210+00:00,2217,641385c88f29eb3264283818,670eb18406e5552d8fd98160,label,7
257,2024-10-15 18:18:04.891902+00:00,2024-10-15 18:18:04.891992+00:00,2389,5dda993086c886a06ce9108d,670eb190d6adc76de5817d68,label,3
258,2024-10-15 18:18:16.207662+00:00,2024-10-15 18:18:16.207763+00:00,2618,654942f619e6c5c133407786,670eb1ad2d9e09a7a090274d,no label,5
259,2024-10-15 18:18:36.967135+00:00,2024-10-15 18:18:36.967292+00:00,2511,66c7732f469cd44cc32b262b,670eb161031981b54b82c22f,no label,7
260,2024-10-15 18:18:59.808319+00:00,2024-10-15 18:18:59.808399+00:00,2956,66db49833617e3db8c16dd6e,670eb1a3a642ff1ed83d09cb,label,4
261,2024-10-15 18:19:00.028207+00:00,2024-10-15 18:19:00.028284+00:00,2956,66db49833617e3db8c16dd6e,670eb1a3a642ff1ed83d09cb,label,4
262,2024-10-15 18:19:05.339676+00:00,2024-10-15 18:19:05.339774+00:00,2523,66c38c380f6784a696195559,670eb1b4266fa927234ee806,label,6
263,2024-10-15 18:19:10.239026+00:00,2024-10-15 18:19:10.239108+00:00,2870,5eea9a9ea8d6d71ba912a73e,670eb1ce817b40f1701746f1,label,4
264,2024-10-15 18:19:39.357010+00:00,2024-10-15 18:19:39.357101+00:00,2769,60741d357c4ab1281c844e1a,670eb13e07038f2cc27745fa,no label,6
265,2024-10-15 18:19:56.581950+00:00,2024-10-15 18:19:56.582016+00:00,2690,663bbe008fb8f91c22aaf751,670eb1bcf1df420439902cb5,no label,3
266,2024-10-15 18:19:56.652431+00:00,2024-10-15 18:19:56.652524+00:00,2248,6604596c1d7f1e9f7bcf03e7,670eb1fb7d8045d07f588cc0,no label,6
